priority,category,title,canonical_page,pdf_or_primary_resource,why_tracksmith_needs_it
1,Interpretable resynthesis,"DDSP: Differentiable Digital Signal Processing",https://arxiv.org/abs/2001.04643,https://arxiv.org/pdf/2001.04643,"Pitch/loudness-conditioned harmonic-plus-noise synthesis, timbre transfer, interpretable controls"
2,MIDI and expression,"MIDI-DDSP: Detailed Control of Musical Performance via Hierarchical Modeling",https://arxiv.org/abs/2112.09312,https://arxiv.org/pdf/2112.09312,"Separates notes, expressive performance and synthesis; directly relevant to ordinary-language MIDI shaping"
3,Field survey,"Audio Editing in the Era of Foundation Models: A Survey",https://arxiv.org/abs/2606.23139,https://arxiv.org/pdf/2606.23139,"Current taxonomy of editing tasks, models, datasets, preservation and evaluation"
4,Instruction editing,"AUDIT: Audio Editing by Following Instructions with Latent Diffusion Models",https://arxiv.org/abs/2304.00830,https://arxiv.org/pdf/2304.00830,"Instruction/input/output editing and preserving regions not meant to change"
5,Editable effect style transfer,"Style Transfer of Audio Effects with Differentiable Signal Processing",https://arxiv.org/abs/2207.08759,https://arxiv.org/pdf/2207.08759,"Predicts visible effect parameters and keeps processing interpretable"
6,Effect optimization,"ST-ITO: Controlling Audio Effects for Style Transfer with Inference-Time Optimization",https://arxiv.org/abs/2410.21233,https://arxiv.org/pdf/2410.21233,"Offline search over arbitrary effect chains and production-style benchmark"
7,Instrument translation,"A Universal Music Translation Network",https://arxiv.org/abs/1805.07848,https://arxiv.org/pdf/1805.07848,"Instrument/style translation while preserving musical content; includes whistle-to-instrument motivation"
8,Timbre transfer,"TimbreTron",https://arxiv.org/abs/1811.09620,https://arxiv.org/pdf/1811.09620,"Musical timbre transfer preserving pitch, rhythm and loudness in monophonic and polyphonic material"
9,Vocoder resynthesis,"Differentiable WORLD Synthesizer-based Neural Vocoder With Application To End-To-End Audio Style Transfer",https://arxiv.org/abs/2208.07282,https://arxiv.org/pdf/2208.07282,"Separates pitch and timbral features; relevant to vocal-to-brass and voice hybrids"
10,Expressive timbre mapping,"Real-time Timbre Remapping with Differentiable DSP",https://arxiv.org/abs/2407.04547,https://arxiv.org/pdf/2407.04547,"Preserves graded timbral expression rather than only pitch/loudness envelopes"
11,Diffusion timbre transfer,"WaveTransfer: A Flexible End-to-end Multi-instrument Timbre Transfer with Diffusion",https://arxiv.org/abs/2409.15321,https://arxiv.org/pdf/2409.15321,"Multi-instrument transfer at music-production sample rates including 44.1 kHz"
12,Diffusion timbre transfer,"Timbre transfer using image-to-image denoising diffusion implicit models",https://arxiv.org/abs/2307.04586,https://arxiv.org/pdf/2307.04586,"Alternative diffusion-based timbre transfer with listening-test comparison"
13,Music instruction editing,"InstructME: An Instruction Guided Music Edit And Remix Framework",https://arxiv.org/abs/2308.14360,https://arxiv.org/pdf/2308.14360,"Music-specific instruction editing, harmony preservation and multi-round editing"
14,Modern editing,"AUDEDIT: Inversion-Free Text-Guided Editing with Pretrained Audio Flow Models",https://arxiv.org/abs/2606.15149,https://arxiv.org/pdf/2606.15149,"Recent preservation-aware training-free editing approach; evaluate cautiously as new work"
15,Modern editing,"DirectAudioEdit: Inversion-Free Text-Guided Audio Editing via Diffusion Prediction Contrast",https://arxiv.org/abs/2606.07356,https://arxiv.org/pdf/2606.07356,"Recent speed/preservation approach; useful comparison with inversion-based editing"
16,Synth parameter estimation,"Sound2Synth: Interpreting Sound via FM Synthesizer Parameters Estimation",https://arxiv.org/abs/2205.03043,https://arxiv.org/pdf/2205.03043,"Maps reference audio to editable FM-synth controls"
17,Synth parameter estimation,"InverSynth: Deep Estimation of Synthesizer Parameter Configurations from Audio Signals",https://arxiv.org/abs/1812.06349,https://arxiv.org/pdf/1812.06349,"Foundational inverse-synthesis reference for matching sounds with controllable parameters"
18,Semantic timbre,"A Semantic Timbre Dataset for the Electric Guitar",https://arxiv.org/abs/2603.16682,https://arxiv.org/pdf/2603.16682,"Source-specific semantic descriptor dataset and human evaluation"
19,Semantic timbre,"Wavetable Synthesis Using CVAE for Timbre Control Based on Semantic Label",https://arxiv.org/abs/2410.18628,https://arxiv.org/pdf/2410.18628,"Semantic labels controlling real-time wavetable timbre"
20,Onomatopoeia dataset,"RWCP-SSD-Onomatopoeia",https://arxiv.org/abs/2007.04719,https://arxiv.org/pdf/2007.04719,"Large word-audio dataset for fine-grained sound descriptions and confidence/acceptance"
21,Onomatopoeic synthesis,"Onoma-to-wave",https://arxiv.org/abs/2102.05872,https://arxiv.org/pdf/2102.05872,"Direct synthesis from imitative sound words; relevant to 'wah', 'woooow', 'crumble' language"
22,Sound-effects synthesis,"DDSP-SFX",https://arxiv.org/abs/2309.08060,https://arxiv.org/pdf/2309.08060,"Transient modeling and deterministic control for sound-effect timbre variation"
23,Neural instrument space,"Neural Audio Synthesis of Musical Notes with WaveNet Autoencoders (NSynth)",https://arxiv.org/abs/1704.01279,https://arxiv.org/pdf/1704.01279,"Instrument timbre embeddings and morphing; dataset/model assumptions matter"
24,Nondifferentiable effects,"Style Transfer for Non-differentiable Audio Effects",https://arxiv.org/abs/2309.17125,https://arxiv.org/pdf/2309.17125,"Style matching when effects cannot be differentiated; relevant to practical plug-in chains"
25,Vocal effects optimization,"Improving Inference-Time Optimisation for Vocal Effects Style Transfer with a Gaussian Prior",https://arxiv.org/abs/2505.11315,https://arxiv.org/pdf/2505.11315,"Shows why unconstrained embedding optimization needs realistic parameter priors"
