"product","version_and_date_studied","lifecycle","workflow","supported_inputs","analysis_method_if_documented","output_type","visibility_and_editability","preview_and_ab","revision_behavior","reference_support","source_or_genre_awareness","local_cloud_operation","strengths","documented_weaknesses_or_boundaries","user_praise","user_complaints","evidence_quality","tracksmith_implications","source_ids"
"iZotope Ozone","12; official PDF dated 2026-05-06; studied 2026-07-16","current in reviewed documentation","Insert on master; analyze at least 8 seconds, preferably loudest section; choose assistant modules/target; preview and edit chain; render in host","Stereo mix/master; imported custom references and built-in targets","Manual documents comparison against tonal balance, vocal balance, width, dynamics, and loudness target averages; undisclosed target construction and internal algorithms","Editable mastering processing chain","Visible reorderable/bypassable modules; assistant intensity and output controls; detailed module access","Global bypass; gain match; reference; mono; codec preview; A/B/C/D snapshots","Undo history, snapshots, module edits, and reanalysis; candidate lineage beyond snapshots not documented","Ten genre targets and custom targets from reference files","Genre targets plus custom reference; result depends on analyzed section","Local plug-in processing as documented; telemetry/privacy not reviewed","Mature editable assistant; broad audition controls; user can constrain generated modules","Requires representative audio; performance guidance includes larger host buffers, fewer bands, and simpler modes; quality and robustness not established","Not yet systematically reviewed","Not yet systematically reviewed","High for documented workflow: complete retained official manual and rendered-page checks; none yet for comparative sound quality","Editable DSP is baseline; preserve analysis-window provenance, feature-scoped references, simultaneous candidates, and loudness-controlled audition","official-izotope-ozone-12-manual-pdf"
"iZotope Neutron","5; official PDF retrieved 2026-07-16; studied 2026-07-16","current in reviewed documentation","Analyze a source or run Visual Mixer across compatible instances; assign focus and groups; audition result; accept static gains; edit detailed modules","Individual tracks, buses or compatible Relay/Neutron instances; custom references","Manual documents source targets, track analysis, masking diagnostics, and Visual Mixer categorization; algorithms undisclosed","Editable per-track processing plus static level changes from Visual Mixer","Broad Assistant controls map to detailed EQ, Sculptor, Density, compression, excitation, and width; target becomes dirty after divergent edits","Gain-matched bypass in Visual Mixer; normal module bypass/solo","Detailed edits persist, but the same Visual Mixer grouped result screen cannot be revisited after close; relearn/restart is required","Instrument targets and custom target library","Source/instrument target plus focus, voice, bass, percussion, and musical group roles","Local plug-ins with inter-plug-in communication as documented; telemetry/privacy not reviewed","Explicit mapping to detailed controls; cross-instance context; session-precondition guidance","Visual Mixer requires raw stems, unity faders, centered pans, one relevant instance per track, bus-or-track choice, and a meaningful focus; masking meter is diagnostic, not artistic proof","Not yet systematically reviewed","Not yet systematically reviewed","High for documented workflow: complete retained official manual and rendered-page checks; no hands-on quality evidence","Type cross-track mechanisms and preconditions; retain group hypotheses durably; never equate overlap with a required cut","official-izotope-neutron-5-manual-pdf"
"iZotope Nectar","4.0.0 manual lineage; complete print manual captured and studied 2026-07-16","current catalog product; exact post-4.0 feature changes not established","Loop vocal; run Vocal Assistant; adjust Intent macros or detailed chain; optionally use arrangement sidechain, Vocal Unmask, Voices, or Backer","Vocal track; arrangement sidechain; competing track through compatible plug-in; isolated reference vocal for some features","Manual documents RMS, vocal characteristics/register, EQ/dynamics, sibilance, compression, ambience, masking comparison, and source-conditioned target use; internal models undisclosed","Editable vocal effect chain; optional generated/pitch-shifted vocal layers","Reorderable modules with bypass/solo/wet-dry; macros map to detailed controls; editable unmask curve","Match-level bypass; module audition; Vocal Unmask audition; Auto-Level detection listen","Presets have dirty state; Vocal Unmask supports accept/back/re-run/cancel; macro/detail conflict behavior needs hands-on test","Vocal target library, Audiolens targets, and isolated vocal reference for custom Backer","Vocal register/source characteristics, source profiles, and arrangement sidechain context","Local plug-in workflow as documented; any service/model dependency and telemetry not reviewed","Broad semantic-to-deterministic mapping; abstention in Vocal Unmask; deep edit path","Assistant needs suitable loop; generated Backer can artifact with register mismatch; user preference and classification accuracy unproven","Not yet systematically reviewed","Not yet systematically reviewed","High for documented controls: complete retained official print manual; no controlled listening evidence","Expose macro-to-node mapping and invalidation; make no-issue a valid result; keep generated assets outside deterministic DSP plans","official-izotope-nectar-4-print-manual"
"iZotope RX","12; complete official manual retrieved and studied 2026-07-16","current in reviewed documentation","Open audio or use plug-in; select time/frequency scope; learn/analyze; compare repair candidates; audition removed signal; render while preserving RX document history","Audio files, selections, dialogue/music modes, plug-in/AudioSuite/ARA contexts; mixtures for Music Rebalance/Stem Split","Manual documents mode- and selection-conditioned repair chains, denoise, spectral repair, de-clip and separation controls; model architecture undisclosed","Rendered repair; editable RX document; candidate settings; estimated stems or separated layers","Repair Assistant chain can be opened in Advanced; per-section on/off; modules expose detailed parameters","Preview, bypass, Compare named candidates, and Listen-to-removed-signal; pre/post-roll","RX Documents preserve original audio, edits, selection and view; Compare supports multiple candidates, with some view/mode limitations","No artistic reference matching in reviewed sections","Voice/music modes; selection scope; module-specific content and quality modes","Local standalone and plug-in workflows as documented; telemetry/privacy not reviewed","Strong selection scope, candidate comparison, residual audition, and non-destructive document model","Some algorithms have duration limits; AudioSuite preview/learn restrictions; high-quality settings cost time; separation trades preservation against leakage; more bands need not improve quality","Not yet systematically reviewed","Not yet systematically reviewed","High for documented workflow: retained 292-page manual with targeted full-section and rendered-page review; no controlled restoration benchmark","Add scoped repair hypotheses, residual audition, compute warnings, candidate comparison, and explicit estimated-stem provenance","official-izotope-rx-12-manual-pdf"
"Apple Logic Pro Mastering Assistant","Apple support article published 2025-03-06 and captured 2026-07-16","current host-native feature in reviewed documentation","Insert automatically on stereo output; analyze project or locator section; select character; adjust EQ/loudness/excite/width; bounce","Logic stereo output and selected project section","Official page documents corrective EQ, loudness, and stereo-width analysis; algorithm undisclosed","Master-bus processing inside Logic","Four characters plus Auto EQ amount, three bounded manual EQ points, loudness, excite, and width","Loudness compensation and bypass","Reanalyze after mix changes; persistent branching or multiple alternatives not documented","No imported reference workflow documented in reviewed page","Character presets carry genre suggestions; analysis uses project or locator section","Native Logic processing; privacy/telemetry beyond local workflow not reviewed","Minimal-friction native-host workflow and explicit loudness compensation","One master-bus result with bounded controls; added loudness may reduce dynamics; algorithm/evaluation undisclosed","Not yet systematically reviewed","Not yet systematically reviewed","High for official workflow; retained support page cross-checked against existing Logic documentation","Do not duplicate one-click mastering; differentiate with multitrack evidence, preservation, alternatives, provenance, and conversational revision","official-apple-logic-mastering-assistant"
"sonible smart:EQ","4; manual file dated 2025-01; studied 2026-07-16","current in reviewed documentation","Choose profile; learn source for at least about 6 seconds; adjust learned curve and filters; optionally form cross-track group with hierarchy","Individual track, mix, or up to 10 grouped plug-in instances; custom reference","Manual documents source-profile learning and group-aware spectral balancing; learned algorithm undisclosed","Real-time EQ processing and editable filter curve","Conventional filters, dynamic behavior, minimum/linear phase modes, group impact and eight states","Bypass, states, and normal plug-in comparison controls","Eight states/presets; group settings and manual edits are editable","Factory profiles and custom reference profile conditioned by closest factory profile","Universal, instrument, and mix profiles; front/middle/back group hierarchy; negative group impact can preserve heterogeneity","Local plug-in processing with inter-instance communication; telemetry/privacy not reviewed","Source-conditioned reference and actual cross-track hierarchy with detailed EQ access","Needs representative learning segment/profile; linear phase adds about 70 ms; group objective and sound quality not independently validated","Not yet systematically reviewed","Not yet systematically reviewed","High for documented workflow: complete official manual read and page rendered","Persist profile/scope and type joint optimization separately from remote control; allow negative or no intervention to preserve character","official-sonible-smart-eq-4-manual"
"sonible smart:comp","3; manual file dated 2025-12; studied 2026-07-16","current in reviewed documentation","Choose profile/style; learn signal; explore Compression Matrix or edit classical/spectral controls; optionally remote-control a group","Individual source or sidechain; multiple independently processing group instances","Manual documents a learned valid compression region and spectral compression/ducking/input riding; algorithms undisclosed","Real-time compression","Compression Matrix axes map Dynamic-Dense and Snappy-Punchy alternatives over detailed controls; styles and classical parameters remain editable","Bypass and eight states/presets","States support alternatives; moving matrix can overwrite manually changed underlying values","No imported reference workflow documented","Source profile and style selection","Local plug-in; group mode is remote/batch control, not cross-adaptive processing","Exposes a source-adapted space instead of pretending there is one setting; deep controls remain available","Macro movement can overwrite detail; group label does not mean joint optimization; efficacy unproven","Not yet systematically reviewed","Not yet systematically reviewed","High for documented workflow: complete official manual read and page rendered","Offer bounded interpretations but preserve manual edits and surface conflicts; enumerate remote control separately from shared optimization","official-sonible-smart-comp-3-manual"
"sonible smart:reverb","2; manual file dated 2025-07; studied 2026-07-16","current in reviewed documentation","Learn source; choose/blend reverb type; adjust perceptual and detailed tail controls; optionally share group information","Individual source or up to 7 grouped instances","Manual documents source learning, semantic reverb matrix, internal ducking for clarity, and shared learned information; algorithm undisclosed","Real-time reverb","Room/hall/plate/spring matrix, size/distance/width/color/clarity, tail cutoff, weighting, and creative modes","Bypass and eight states/presets","States/presets and manual controls; no durable proposal lineage documented","No external reference workflow documented","Source learning and group context","Local plug-in with inter-instance sharing; telemetry/privacy not reviewed","Separates learning from style choice and exposes perceptual control plus detailed shaping","Learning does not choose style/parameters; semantic clarity hides a specific ducking mechanism unless inspected; quality unproven","Not yet systematically reviewed","Not yet systematically reviewed","High for documented workflow: complete official manual read and page rendered","Separate observation from chosen intervention; semantic labels must disclose mechanism; type shared-tail context explicitly","official-sonible-smart-reverb-2-manual"
"sonible smart:limit","Manual dated 2023-03; studied 2026-07-16","current status/version requires refresh","Choose genre/reference profile; learn audio; adjust learned limiting, publishing target, style, balance, bass and saturation; monitor output","Mix/master audio","Manual documents learned gain/limit/attack/sound shaping, loudness/true-peak/dynamics displays and distortion monitoring; algorithms and quality metric validation undisclosed","Real-time true-peak limiting","Detailed limiter and sound-shaping controls around learned setup","Constant-gain comparison, delta audition, bypass, and states","States/presets; no persistent semantic branch lineage documented","Genre/reference profile and publishing targets","Genre/reference profile; manual separates publishing target from learning behavior","Local plug-in processing; telemetry/privacy not reviewed","Excellent trust controls for loudness bias and residual distortion; clear measurement workflow","Retained manual is stale relative to evidence cutoff; long observation is needed for meaningful integrated measurement; grid is not artistic proof","Not yet systematically reviewed","Not yet systematically reviewed","High for the dated manual; current lifecycle and independent metric validation missing","Make constant-gain and delta audition baseline; keep delivery compliance separate from creative preference and mark short-window metrics unstable","official-sonible-smart-limit-manual"
"LANDR Mastering","Official help index inspected 2026-07-16","current service in inspected official pages","Upload mix; choose mastering options/reference where entitled; preview, revise, and export; album workflows are documented in help family","Uploaded stereo mixes; up to three reference tracks on some plans according to inspected official help","Not disclosed in retained evidence","Rendered master files and revisions","Outcome controls documented; underlying effect graph not documented as editable","Preview documented; exact gain-matching behavior not established","Mastering revisions documented","Reference mastering documented; plan limits vary","Style/option and reference awareness; exact source model undisclosed","Cloud service; privacy/data retention not yet reviewed","Fast outcome, revisions, references, and album-oriented service workflow","Usable page payload was blocked; exact current tiers, controls, failure behavior, privacy and sound quality need retained evidence and tests","Not yet systematically reviewed","Not yet systematically reviewed","Medium-low: official index inspected, payload unavailable, no hands-on or independent evidence","Compete on editable reasoning and local privacy while retaining fast alternatives/export; do not infer weakness or quality without tests","official-landr-mastering-help"
