"repository","resource_id","origin","reviewed_commit","commit_date","clean_checkout","primary_role","architecture","reviewed_files","declared_license","commercial_product_code_use","tests_and_benchmarks","production_hazards","reusable_concepts","production_readiness","tracksmith_disposition"
"Apple AudioUnitSDK","oss-apple-audiounitsdk","https://github.com/apple/AudioUnitSDK.git","bd98b31feff57a15989fcfab4cd86dc63382b1ac","2025-12-05","yes; empty porcelain status; origin and HEAD verified","official Audio Unit scaffolding and render-boundary reference","C++ Audio Unit base classes, scopes, elements, buffer lifecycle, dispatch, and effect helpers","readme.md; include/AudioUnitSDK/AUUtility.h; include/AudioUnitSDK/AUBuffer.h; include/AudioUnitSDK/AUScopeElement.h; include/AudioUnitSDK/AUEffectBase.h; src/AudioUnitSDK/AUBuffer.cpp; src/AudioUnitSDK/AUEffectBase.cpp; src/AudioUnitSDK/AUPlugInDispatch.cpp; tests/AUThreadSafeListTests.mm; tests/Tests.mm","Apache-2.0","candidate reference/dependency after normal notice and dependency review","Xcode unit target and thread-safe-list tests; official SDK integration examples; no DSP-quality benchmark","setup and resize paths allocate; annotations do not prove every reachable callback safe; legacy Audio Unit scaffolding is not the whole AUv3 app-extension workflow","clang nonblocking annotations; noexcept render dispatch; preallocation; lock-free render-access patterns; explicit scope/element lifecycle","framework-quality boundary reference, not a finished TrackSmith plug-in","retain native AUv3; apply nonblocking annotations plus runtime heap, lock, file, network, deadline, latency, and tail tests"
"DASP-PyTorch","oss-dasp-pytorch","https://github.com/csteinmetz1/dasp-pytorch.git","c9ae0126e1c441979b93995da061503a0abdceff","2023-12-04","yes; empty porcelain status; origin and HEAD verified","differentiable audio-effects parameter optimization","PyTorch functional effects wrapped by processors that map normalized controls to physical parameter ranges","README.md; dasp_pytorch/modules.py; dasp_pytorch/functional.py; dasp_pytorch/signal.py; examples/auto_eq.py; examples/blind_estimation.py; examples/style_transfer.py","Apache-2.0","candidate research dependency after transitive-dependency review; do not assume model/data rights","examples demonstrate gradient-based fitting and controller training; no conventional unit suite or real-time benchmark","offline tensor allocation; clip-level frequency-sampling approximations; several incomplete paths; normalized bounds are not perceptual safety; no AU render proof","bounded normalized-to-physical controls; white-box differentiable gain, EQ, dynamics, reverb, distortion, and stereo bus; exact-recovery experiment patterns","research prototype","use only in an offline optimizer lane or as an independently verified surrogate; deterministic native DSP remains authoritative"
"Adobe DeepAFx-ST","oss-adobe-deepafx-st","https://github.com/adobe-research/DeepAFx-ST.git","49bd0c88f3a0ad8b9c45f88200b4caa74952c43d","2022-07-18","yes; empty porcelain status; origin and HEAD verified","reference-conditioned differentiable audio-effect style transfer","input/reference encoders feed a controller that predicts bounded EQ then compressor controls; autodiff, proxy, TCN, and SPSA processor variants","README.md; deepafx_st/system.py; deepafx_st/models/encoder.py; deepafx_st/models/controller.py; deepafx_st/processors/autodiff/channel.py; deepafx_st/processors/autodiff/peq.py; deepafx_st/processors/autodiff/compressor.py; deepafx_st/processors/proxy/proxy_system.py; scripts/test_ckpt.py","Adobe Research License; noncommercial research only","no commercial product code or weights without a separate grant","checkpoint smoke script and timing/result artifacts; comparative research code; no production unit suite or embedded listening harness","fixed EQ-compressor chain; proxy and short-clip losses can disagree with production DSP and preference; Python/TensorFlow execution; restricted license","input/reference controller separation; bounded controls; comparison of autodiff, learned proxy, TCN, and SPSA optimization routes","research reference only","prototype a typed reference-conditioned candidate generator independently; validate against TrackSmith DSP and loudness-controlled listeners"
"Diff-MST","oss-diff-mst","https://github.com/sai-soum/Diff-MST.git","3b90ef838272b827c86610cf25b510a23a4147fd","2024-11-09","yes; empty porcelain status; origin and HEAD verified","differentiable multitrack mixing-style transfer","track and reference encoders plus transformer controller predict editable per-track, effects-bus, and master-bus controls","README.md; mst/system.py; mst/modules.py; mst/mixing.py; mst/loss.py; mst/param_system.py; data/knowledge_engineering.yaml; tests/test_mix.py; tests/test_loss.py; scripts/eval_listen.py","CC-BY-NC-SA-4.0","no commercial product code, trained artifacts, or adapted code without a separate grant","many top-level research test scripts and a stimulus-preparation script; several are stale/manual rather than an isolated reliable unit suite","static/global console scope; proxy feature losses; research-path drift and duplicated code; listening script does not itself establish a valid listening result; noncommercial share-alike license","explicit editable console topology; per-track/bus/master scope; role-aware parameter groups; comparison with a knowledge-engineered baseline","research prototype","retain explicit plan topology and source relationships; independently test one-to-many typed alternatives against no-op and simple baselines"
"DISTRHO Plugin Framework","oss-distrho-dpf","https://github.com/DISTRHO/DPF.git","4238e1c7f0351bbe488d79f0899c540543ac7583","2025-10-23","yes; empty porcelain status; origin and HEAD verified","minimal cross-format native plug-in framework reference","small C++ Plugin contract with activate, run, deactivate, parameter/state callbacks, UI separation, and multiple export wrappers","README.md; FEATURES.md; LICENSING.md; distrho/DistrhoPlugin.hpp; distrho/src/DistrhoPluginInternal.hpp; distrho/src/DistrhoPluginAU.cpp; examples/Metronome/ExamplePluginMetronome.cpp; examples/States/ExamplePluginStates.cpp; tests/Makefile","ISC for DPF core; bundled components have separate notices","candidate architectural reference after file-level and bundled-component review","CI builds examples and formats; test tree emphasizes UI/framework smoke coverage rather than numerical DSP or AUv3 conformance","documented export surface is not a modern AUv3 product path; bundled code has separate licenses; small callback API does not by itself prove an implementation is real-time safe","minimal lifecycle; explicit parameter/state boundary; compact host-wrapper architecture; build-matrix ideas","framework reference, not a TrackSmith AUv3 replacement","borrow lifecycle simplicity and tests; preserve the existing native AUv3 and App Group architecture"
"Dragonfly Reverb","oss-dragonfly-reverb","https://github.com/michaelwillis/dragonfly-reverb.git","440ec7b3b3db2fec34b9f80cf4890102ca14d1c3","2026-05-21","yes; empty porcelain status; origin and HEAD verified","algorithm and UX reference for algorithmic reverb","DPF plug-ins wrap Freeverb3-derived early-reflection, hall, room, and plate DSP with separate semantic controls","README.md; plugins/dragonfly-hall-reverb/DSP.cpp; plugins/dragonfly-hall-reverb/Plugin.cpp; plugins/dragonfly-room-reverb/DSP.cpp; plugins/dragonfly-plate-reverb/DSP.cpp; plugins/dragonfly-early-reflections/DSP.cpp; common/freeverb/README; common/freeverb/COPYING","GPL-3.0 with third-party notices","reference only; no copying into a closed product without a compatible license decision","build/CI evidence and mature released plug-ins; no focused numerical, stability, allocation, or perceptual unit suite found","some control changes rebuild or resize state; inherited third-party code; feedback stability, denormals, tail lifecycle, and thread-safe preset changes require separate proof","semantic split of early/late energy, size, predelay, diffusion, modulation, spectral decay, width, and wet/dry controls","mature product reference under incompatible license; not drop-in TrackSmith code","use the control ontology and fixtures as inspiration; independently implement and test bounded native reverb nodes"
"Essentia","oss-mtg-essentia","https://github.com/MTG/essentia.git","b9fa6cb674ca43dfb94d28d293aeda441c6745db","2026-05-20","yes; empty porcelain status; origin and HEAD verified","large MIR and audio-quality analysis reference","C++ standard and streaming algorithm graphs with Python bindings, extractors, model inference, and descriptor aggregation","README.md; COPYING.txt; src/algorithms/audioproblems/falsestereodetector.cpp; src/algorithms/audioproblems/truepeakdetector.cpp; src/algorithms/extractor/lowlevelspectralextractor.cpp; src/algorithms/extractor/rhythmdescriptors.cpp; test/src/unittests; test/src/qa","AGPL-3.0 or separate commercial license","reference/oracle only unless commercially licensed and dependency/model rights are cleared","large unit and QA tree covering descriptor families, loudness, streaming/standard parity, and edge cases","AGPL boundary; configuration-sensitive descriptors; allocations, graph setup, Python/model execution, and whole-signal operations are not AU render safe; learned models have separate artifacts","feature-family coverage; standard versus streaming parity; adversarial fixtures; explicit algorithm configuration and descriptor provenance","strong companion/offline reference, not render-thread code","use as a pinned oracle and gap catalog; implement only selected native measurements with complete provenance and confidence"
"FLAMO","oss-flamo","https://github.com/gdalsanto/flamo.git","db322c9fb4ae42bc4117252ca5b08127f215a664","2026-07-06","yes; empty porcelain status; origin and HEAD verified","differentiable frequency-domain audio-system design","PyTorch frequency-domain modules compose in series, shells, and recursions for filters, matrices, delays, and feedback-delay networks","README.md; flamo/processor/system.py; flamo/processor/dsp.py; flamo/optimize/trainer.py; flamo/optimize/loss.py; flamo/auxiliary/eq.py; flamo/auxiliary/reverb.py; examples/e7_biquad.py","MIT","candidate offline research dependency after dependency and bundled-artifact review","documented examples and notebooks act as smoke/research demonstrations; no conventional isolated test suite located","frequency-domain and clip-level assumptions; alias-control configuration; examples and committed checkpoints are not production validation; some documented PEQ work is not released","explicit differentiable series/recursive graphs; stable parameterizations to investigate; feedback-delay-network optimization; time-alias mitigation","research toolkit","use offline for candidate generation and surrogate experiments; compare every result against exact native render response and state behavior"
"ITO-Master","oss-sony-ito-master","https://github.com/SonyResearch/ITO-Master.git","f8e7b819eca252a17825dc6ea9a15ff21f49b70f","2025-07-03","yes; empty porcelain status; origin and HEAD verified","reference or text embedding optimization for automatic mastering","a fixed effects encoder drives optimization through white-box EQ, distortion, multiband compression, gain, imaging, and limiting or a black-box TCN converter","README.md; inference.py; ito_master/networks/architectures.py; ito_master/mixing_manipulator/dasp_additionals.py; ito_master/modules/loss.py; ito_master/modules/data_normalization.py; ito_master/modules/fx_utils.py","CC-BY-NC-4.0","no commercial product code or supplied weights without a separate grant","inference and research configuration code; no repository unit suite or reproducible benchmark harness found","runtime checkpoint download lacks a repository-pinned artifact hash; embedding objective and output loudness can bias preference; short/offline pipeline; noncommercial license","bounded parameter optimization; reportable parameter deltas; white-box versus black-box converter comparison; text/reference target interface","research reference only","test embeddings only as one fallible ranking feature; keep typed native plan, preservation constraints, and listening acceptance authoritative"
"JUCE","oss-juce","https://github.com/juce-framework/JUCE.git","2cdfca8feb300fb424002ba2c2751569e5bacb64","2026-06-22","yes; empty porcelain status; origin and HEAD verified","broad plug-in framework, AUv3 wrapper, state, and DSP edge-case reference","cross-platform C++ framework with host/plug-in wrappers, AudioProcessor, parameter state, DSP processors, UI, and application infrastructure","README.md; LICENSE.md; modules/juce_audio_plugin_client/juce_audio_plugin_client_AUv3.mm; modules/juce_audio_plugin_client/juce_audio_plugin_client_AU_1.mm; modules/juce_audio_processors_headless/processors/juce_AudioProcessor.h; modules/juce_audio_processors/utilities/juce_AudioProcessorValueTreeState.cpp; modules/juce_dsp/processors/juce_ProcessorChain.h; modules/juce_dsp/widgets/juce_Compressor.cpp; modules/juce_dsp/widgets/juce_Limiter.cpp; modules/juce_dsp/frequency/juce_Convolution.cpp; modules/juce_audio_processors/format_types/juce_AudioUnitPluginFormat_test.cpp","AGPL-3.0 or separate commercial JUCE license","only under AGPL compliance or a suitable commercial license; migration would add substantial scope","extensive unit tests and CI across wrappers, processors, filters, convolution, hosts, and platform paths","framework abstraction does not guarantee user-code allocation freedom; large dependency and wrapper surface; license and migration costs; example DSP is not automatically mastering-grade","AUv3 host-wrapper edge cases; offline-render, parameter, state, latency/tail, preset, and host-compatibility test catalog","production framework, but not justified as an architecture migration","mine edge cases and conformance tests; retain the proven native AUv3 implementation"
"LAION-CLAP","oss-laion-clap","https://github.com/LAION-AI/CLAP.git","1fd4c37df5ffbfcfbad5415c170bc66cf94c9994","2025-05-15","yes; empty porcelain status; origin and HEAD verified","audio-text embedding and retrieval reference","PyTorch audio/text encoders with HTSAT audio preprocessing, fusion/crop modes, projection, contrastive training, and checkpoint-based inference","README.md; LICENSE; src/laion_clap/hook.py; src/laion_clap/clap_module/model.py; src/laion_clap/clap_module/htsat.py; src/laion_clap/clap_module/feature_fusion.py; src/laion_clap/unit_test.py; src/tests/data_loader_test.py","CC0-1.0 for repository code; weights, datasets, and dependencies separate","source concepts are low-friction, but every checkpoint, dataset, model component, and dependency needs separate rights and provenance review","basic unit/data-loader/checkpoint scripts and retrieval evaluation tooling; no TrackSmith edit-success listening benchmark","approximately 10-second crop/fusion behavior; content, loudness, artist, genre, and dataset leakage; checkpoint drift; inference cost; embedding similarity is not edit quality","shared audio-text evidence; retrieval/query expansion; crop-sensitivity and calibration test targets; diversity clustering","research/analysis component only","use embeddings only as calibrated, versioned evidence or candidate-ranking features with abstention and human labels"
"libebur128","oss-libebur128","https://github.com/jiixyj/libebur128.git","67b33abe1558160ed76ada1322329b0e9e058b02","2021-02-14","yes; empty porcelain status; origin and HEAD verified","BS.1770/EBU R128 loudness and true-peak conformance oracle","small C stateful library for momentary, short-term, integrated loudness, loudness range, sample peak, true peak, and channel maps","README.md; COPYING; ebur128/ebur128.h; ebur128/ebur128.c; test/tests.c; test/fuzzer.cpp; test/minimal-example.c","MIT","candidate dependency or independent oracle after normal dependency and performance review","conformance-style tests, examples, and a fuzzer cover modes and error paths","initialization, mode/window changes, and some history paths allocate; no blanket render-thread guarantee; standard conformance is not preference","independent loudness/true-peak oracle; channel-map fixtures; gated history; fuzz patterns","strong measurement reference; real-time suitability requires profiling and bounded configuration","use for pinned offline oracle fixtures first; verify native TrackSmith metering independently across channel layouts and edge cases"
"librosa","oss-librosa","https://github.com/librosa/librosa.git","5d57c38e94d92720f5ae7a34739469debffbe585","2026-07-14","yes; empty porcelain status; origin and HEAD verified","offline MIR feature and time-axis oracle","NumPy/SciPy/Numba feature, spectral, rhythm, onset, beat, segmentation, effects, and display modules with cache-aware APIs","README.md; LICENSE.md; librosa/feature/spectral.py; librosa/feature/rhythm.py; librosa/beat.py; librosa/onset.py; librosa/segment.py; librosa/core/spectrum.py; librosa/effects.py; tests","ISC","candidate offline test dependency after transitive-dependency review","large mature unit suite with fixtures and numerical edge cases","whole-signal allocation and dynamic programming; centering, padding, cache, dtype, and time-axis choices alter outputs; Python is not render-thread code","independent feature fixtures; parameter-sensitivity tests; explicit time-axis conversions; simple acoustic baselines","strong offline library, not AU DSP","use pinned feature outputs and adversarial baselines; record full configuration in every TrackSmith analysis report"
"LLM2Fx","oss-sony-llm2fx","https://github.com/SonyResearch/LLM2Fx.git","55883b10b105c0e286a23bb2f990c7e4cfd9aef0","2026-03-31","yes; empty porcelain status; origin and HEAD verified","semantic text/audio-to-effect tool-control research","two research systems: in-context LLM JSON for EQ/reverb and audio-conditioned fine-tuning that emits ordered effect tool calls","README.md; llm2fx-1/llm2fx/inference/text2fx/run_llm.py; llm2fx-1/llm2fx/inference/text2fx/prompt/instruction_eq.txt; llm2fx-1/llm2fx/inference/text2fx/prompt/instruction_reverb.txt; llm2fx-tools/llm4mp/common_utils/tool_utils/parser.py; llm2fx-tools/llm4mp/common_utils/fx_utils/dasp_utils/tool_calling_fn.py; llm2fx-tools/llm4mp/preprocessing/fx_processor/fx_sampling_dasp.py; llm2fx-tools/llm4mp/preprocessing/llm_processor/data_generation.py; llm2fx-tools/llm4mp/preprocessing/llm_processor/llm_as_a_judge.py","no repository license declared","no permission to copy, redistribute, adapt, or ship code/data; retain citation and independently derived observations only","research scripts and evaluation utilities; no conventional unit, safety, or performance suite found","loose dictionary parsing and dispatch; synthetic random chains and LLM-generated explanations/judgments; incomplete range, unit, scope, order, and safety validation; no license","typed tool vocabulary idea; adversarial examples for model-output validation; synthetic inversion data separated from human judgment","research evidence only","preserve TrackSmith's strict ModelIntentContract and validator; never execute loosely parsed provider output or treat synthetic rationale as judgment"
"Magenta DDSP","oss-magenta-ddsp","https://github.com/magenta/ddsp.git","cf5e62dfe5d5c80aa14761832233a2e68e840e53","2026-07-08","yes; empty porcelain status; origin and HEAD verified","differentiable processor graph and physically constrained control reference","TensorFlow Processor objects map learned inputs to physical controls; ProcessorGroup composes a directed acyclic signal/control graph","README.md; ddsp/processors.py; ddsp/effects.py; ddsp/synths.py; ddsp/core.py; ddsp/losses.py; ddsp/processors_test.py; ddsp/effects_test.py; ddsp/synths_test.py; ddsp/losses_test.py; ddsp/dags_test.py","Apache-2.0","candidate offline reference/dependency after TensorFlow, model, data, and transitive-rights review","substantial unit coverage for processors, effects, synths, losses, DAGs, spectral operations, and training components","TensorFlow graph/training environment is not a deterministic AU renderer; pretrained artifacts and datasets separate; spectral losses remain proxies","separation of learned controls from physical DSP; explicit ProcessorGroup DAG; physically meaningful bounds; multi-scale losses as diagnostics","mature research library, not embedded product DSP","adopt the typed control/DAG pattern; use native deterministic nodes and validate any differentiable surrogate against them"
