"family_id","title","priority_date","representative_publications","assignee","inventors","technology_cluster","independent_claim_summary","concrete_embodiments","evaluation_and_limits","key_prior_art","status_snapshot","status_caveat","review_method","tracksmith_overlap","design_differentiation","alternative_design","engineering_consequence","acceptance_test","must_not_infer","interpretation_confidence","specialist_legal_review","canonical_url","payload_sha256s","resource_ids"
"patent-family-izotope-audio-recognition-control-2009","Automatic Labeling and Control of Audio Algorithms by Audio Recognition","2009-09-28","US20110075851A1; US9031243B2","iZotope Inc.; current Google record shows Native Instruments USA Inc.","Jay LeBoeuf; Stephen Pope","source recognition to effect control","Window audio; create and reduce a feature vector; assign a sound-object label; output control events that configure an audio application.","FFT and MFCC features; statistics and PCA; GMM, HMM, SVM, neural-network or rule classifiers; real-time tool, chain, preset, or console control.","No classification accuracy, calibration, rejection, or downstream-harm evidence. A source label can be wrong, mixed, or musically irrelevant.","Audio-classification and algorithm-control disclosures cited in the patent.","Google displayed active; anticipated expiration 2031.","Google legal status and assignee are assumptions; verify official registers. Technical prior-art analysis only, not a legal or FTO conclusion.","Native-text claims and specification plus rendered checks of architecture and claim pages.","Source-aware effect recommendation.","Treat labels as provenance-bearing evidence with confidence, alternatives, unknown state, role and context; never as authorization to process.","Calibrated abstaining classifier feeding ranked typed hypotheses.","Production-ready principle: propagate source uncertainty into every dependent hypothesis.","Clean sources, bleed, layered stems and OOD material; measure calibration, rejection and downstream plan harm.","A likely source class proves musical role or desired processing.","High for claims and architecture; none for classifier performance.","Review before materially similar recognition-to-control implementation.","https://patents.google.com/patent/US9031243B2/en","eb73d8b0ef71f0f3a5a66e6e2f127097c3189ef6b3cff16ae50a8d5635ee5a31","patent-family-izotope-audio-recognition-control-us9031243"
"patent-family-fraunhofer-semantic-audio-mixer-2011","Semantic Audio Track Mixer","2011-02-03","EP2485213A1; WO2012104119A1; US20140037111A1; US9532136B2","Fraunhofer-Gesellschaft zur Foerderung der angewandten Forschung e.V.","Christian Uhle; Juergen Herre; Harald Popp; Falko Ridderbusch","semantic and conversational multitrack control","Analyze tracks for track information; interpret a semantic command with that information through semantic-to-crisp conversion; derive mix parameters; process and combine tracks.","Vocabulary and grammar databases; source and time-section identification; spoken, preset, example-mix or multidimensional interfaces; fuzzy, perceptual or randomized mapping; target descriptors and confidence.","Detailed architecture and examples, but no controlled evidence of producer-level judgment or semantic correctness.","Earlier semantic, perceptual and automatic-mixing references cited in the patent.","Google displayed active; anticipated expiration 2032.","Google legal status and assignee are assumptions; verify official registers. Technical prior-art analysis only, not a legal or FTO conclusion.","Native-text claims and specification plus rendered checks of FIG. 5 architecture and independent claim.","Commands grounded in source and section analysis and mapped to DSP.","TrackSmith adds signed AUv3/App Group boundaries, provenance vocabulary, typed intent and hypotheses, deterministic editable DSP, durable revision, preview, commit, bypass and project persistence.","Probabilistic interpretation with clarification or multiple candidates when materially ambiguous.","Production-ready principle: ground every command in source, role, section and mix context before crisp values.","Apply the same adjective across sources, sections and genres; require traceable differences or clarification.","A valid parse or fuzzy mapping recovered the intended sound.","High for claims and architecture; none for efficacy.","Review before materially similar semantic-to-parameter implementation.","https://patents.google.com/patent/US9532136B2/en","c8f89e30c8d610c84519d752fe4f285c4de0940deed1cee5e759195df74a6b73","patent-family-fraunhofer-semantic-audio-mixer-us9532136"
"patent-family-landr-autonomous-multitrack-2012","System and Method for Autonomous Multi-Track Audio Processing","2012-05-08","WO2013159219A1; US20150117685A1; US9654869B2","LANDR Audio Inc.; Queen Mary University of London","Joshua D. Reiss; Stuart Mansbridge; Alice Clifford; Zheng Ma; Sina Hafezi; Nicholas Jillings","rule-driven automatic mixing and mastering","Receive tracks; derive features and control functions; process feature-wise under plural per-track and multitrack rules; output processed tracks.","Source recognition and genre settings; loudness, compression, EQ, panning and mastering chain; target-spectrum division; Yule-Walker filter design; RMS and crest-derived dynamics; spectral-centroid panning.","No controlled listening proof of producer-level quality. Claimed elements and specification-only mastering details must be separated; fixed rules can erase desired exceptions.","Automatic mixing and mastering disclosures cited in the patent.","Google displayed active; anticipated expiration 2033.","Google legal status and assignee are assumptions; verify official registers. Technical prior-art analysis only, not a legal or FTO conclusion.","Native-text claims, equations and specification plus rendered checks of loudness architecture and claim page.","Source-aware deterministic multitrack processing.","TrackSmith records intent, provenance, candidate lineage, uncertainty, bounds, reversibility, preservation and no-change instead of executing an opaque universal chain.","Use rules as constraints and guardrails inside typed hypotheses, not universal genre prescriptions.","Prototype-worthy: explicit per-track and cross-track evidence mapped to bounded operations.","Source-role, genre, bleed and no-change cases with loudness-matched expert evaluation.","Feature targets or a complete autonomous chain imply a good mix.","High for claims and algorithms; none for efficacy.","Review before materially similar rule-controlled multitrack implementation.","https://patents.google.com/patent/US9654869B2/en","8a319078c24f3e79f6f404f0f9f06ecb61eeb68f0d1bad8900daae7cd49d9bee","patent-family-landr-autonomous-multitrack-us9654869"
"patent-family-51527158-dts-stem-mix","Automatic Multi-Channel Music Mix from Multiple Audio Stems","2013-03-15","WO2014151092A1; US9640163B2; US11132984B2; EP2974010B1","DTS Inc.","Zoran Fejzo; Fred Maher","metadata-driven stem-to-surround mixing","Generate a surround mix from an artistic stereo mix and stems by selecting rule subsets from stem metadata, using different genre and surround configurations, and applying a matrix with at least three output channels.","Condition/action rules; genre and voice metadata; stem effects; virtual-stage and listener coordinates; weighted delayed-stem matrix.","No artistic-parity study and only partial transfer to TrackSmith stereo production. Source and genre metadata can encode brittle assumptions.","Automatic spatial-mixing and stem-metadata disclosures cited in the patent.","Google showed an expired-fee-related US signal.","Maintenance-fee and family status require official-register verification. Technical prior-art analysis only, not a legal or FTO conclusion.","Native-text claims and specification plus rendered independent-claim check.","Metadata-selected deterministic rules.","TrackSmith treats source metadata as evidence in typed, provenance-bearing, reversible hypotheses, not as a final genre lookup table.","Condition rules on role, section, confidence and user intent; retain spatial and no-change alternatives.","Prototype-worthy: inspectable metadata-derived rule and spatial assumptions.","Misclassification, unseen labels, conflicting metadata and no-change baselines.","Genre or source metadata determines a correct mix matrix.","High for claims; moderate for current status.","Consider before materially similar metadata-to-matrix implementation.","https://patents.google.com/patent/US11132984B2/en","258067318c4c756b028dea8db45e96413f8457d7f7d4ec9f0b3b727536b2c030","patent-family-dts-automatic-stem-mix-us11132984"
"patent-family-52584429-landr-semantic-production","System and Method for Performing Automatic Audio Production Using Semantic Data","2013-08-28","US20150066481A1; US9304988B2","LANDR Audio Inc.; originally MixGenius Inc.","Michael John Terrell; Stuart Mansbridge; Joshua D. Reiss; Brecht De Man","semantic production rules and reference matching","Receive audio and semantic information; select a semantic rule with production data; match a reference-record database semantically; assign processing values; process and output audio.","Genre, instrument, artist, style and emotion labels; MFCC, spectral-flux, tempo and statistical features; controls, configurations and target features; per-region processing; alternatives; A/B or MUSHRA evaluation; preference learning.","No comparative efficacy or listening evidence. Semantic similarity does not establish intended production meaning or preferred processing.","Reference-matching and automated-production disclosures cited in the patent.","Google displayed active.","Google legal status and assignee are assumptions; verify official registers. Technical prior-art analysis only, not a legal or FTO conclusion.","Native-text claims and specification plus rendered semantic-flow figures and independent claim.","Semantic language mapped to source-aware production data and deterministic processing.","TrackSmith keeps provenance-tagged vocabulary, typed intent and hypotheses, uncertainty, alternatives, exact editable DSP, preservation tests and explicit revision/commit state.","Rank bounded plans using semantic evidence; retain no-change and clarification paths.","Prototype-worthy: contextual semantic hypotheses with provenance and confidence.","Ambiguous terms must produce ranked source-aware alternatives or clarification; every candidate resolves to reversible DSP.","A semantic database match proves correct processing or preference.","High for claims and specification; none for efficacy.","Review before materially similar semantic-rule and reference-database implementation.","https://patents.google.com/patent/US9304988B2/en","e5f32b5db6603650837666d69ff88efda2ae23d6e1211d07c1ef72f19a78d5ee","patent-family-landr-semantic-production-us9304988"
"patent-family-mixgenius-automatic-multitrack-2013","System and Method for Performing Automatic Multi-Track Audio Mixing","2013-09-13","WO2015035492A1; CA2919662A1","MixGenius Inc.; now LANDR Audio Inc.","Stuart P. Mansbridge; Joshua D. Reiss; Brecht De Man; Pedro Duarte Leal Gomes Pestana; Seyed Sina Hafezi","cross-adaptive EQ, target mastering and automatic mixing","Independent claims cover bandwise comparison and filtering, mastering toward a target spectrum, iterative gain compensation, target generation, pairwise multitrack EQ, recognized-track high-pass, semantic rules and integrated cleanup.","Pairwise masking deltas and priority; adjacent-band and top-N filters; normalized reference spectra; iterative overlap compensation; spectral-centroid panning with activity gates; 3, 6 and 9 LU DRC reductions.","Small short-excerpt studies contradict universal cleanup: automatic panning failed on an alternative-pop case; heavy automatic compression was poor; no DRC was often among the best conditions; no average mix exceeded fair.","International search report marked WO2013167884 and US20120130516 X or E against parts of the claims and cited Perez-Gonzalez papers; classifications are not legal conclusions.","Google displayed the PCT application ceased; a Canadian publication exists.","PCT cessation does not determine national-stage rights; verify official registers. Technical prior-art analysis only, not a legal or FTO conclusion.","Preserved image-only PDF; OCR only for navigation; claims, figures, studies and search report verified on rendered pages.","Cross-adaptive EQ, target matching, source-dependent cleanup, panning, dynamics and semantic rules.","TrackSmith preserves bounded source-, role- and genre-aware alternatives, exact editable DSP, no-change, loudness-matched preview and preservation constraints.","Use masking and target metrics as objectives in a Pareto candidate set, not a fixed cleanup cascade.","Prototype-worthy: expose pairwise evidence, artistic-priority assumptions and correction strength.","Expert tests include no-change, light and heavy conditions, loudness matching, multiple genres and whole-mix context.","Less masking, wider panning or more compression is inherently better.","High for algorithms and reported tests; moderate for global family completeness.","Review before materially similar independent-claim implementation.","https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2015035492","f89e7554cb7d3f47e8ceaf35c04944d3b403fc4d3416834ac84e949775ff664b","patent-family-mixgenius-automatic-multitrack-wo2015035492"
"patent-family-apple-content-aware-ducking-2013","Content Aware Audio Ducking","2013-10-18","US20150172774A1; US9536541B2","Apple Inc.","David N. Chen; David E. Conry","content-aware interaction control","Establish a minimum loudness separation between two clips in a multimedia composite and reduce the first during playback to meet it.","Master-slave relationships; worst-case window differential; program loudness bounds; multiple pairings; silence and recovery behavior.","Rooted in multimedia or voice ducking, not general artistic music evidence. Can pump, suppress intentional overlap or react badly to transients and silence.","Ducking and content-aware mixing disclosures cited in the patent.","Google displayed active; anticipated expiration 2033.","Google legal status and assignee are assumptions; verify official registers. Technical prior-art analysis only, not a legal or FTO conclusion.","Native-text claims and specification cross-check.","Declarative source-interaction constraint with an exact gain envelope.","Expose priority assumption, envelope and preservation cost as a reversible plan.","Offer static balance, sidechain compression, dynamic EQ, arrangement advice or no-change depending on intent.","Production-ready principle: use minimum separation only with explicit source priority.","Master-slave, silence, transient, recovery, pumping, preference and bypass-null tests.","Measured overlap establishes which source should be reduced.","High for claims; limited for music-production transfer.","Consider before materially similar claim-element implementation.","https://patents.google.com/patent/US9536541B2/en","660bf32b68a2c4e54148f9f399dbfe13589102d6adca728d3ec60fa94f32e45f","patent-family-apple-content-aware-ducking-us9536541"
"patent-family-adobe-auto-compressor-threshold-2016","Using Averaged Audio Measurements to Automatically Set Audio Compressor Threshold Levels","2016-08-01","US20180048114A1; US10050596B2","Adobe Inc.","Matthew Gehring Stegner","statistical dynamics initialization","Calculate minimum and maximum average amplitudes, average them for a threshold, and gate below-threshold values; other independent claims cover compressor-ratio and common-channel variants.","RMS and whole-file analysis; faster-than-real-time operation; margins, ranges and frequency weighting; discard extrema; map threshold ranges to ratios.","No listening evidence. Issued claim 1 is narrower and more gate-like than the title; mean-level heuristics ignore role, transients, crest structure and sections.","Dynamics-processing and automatic-level disclosures cited in the patent.","Google displayed active; anticipated expiration 2036.","Google legal status and assignee are assumptions; verify official registers. Technical prior-art analysis only, not a legal or FTO conclusion.","Native-text claims and specification cross-check.","Deterministic analysis-derived dynamics initialization.","Use simple statistics as transparent initial evidence, then require contextual diagnosis, bounded candidates, preview and no-change.","Compare percentile, section-aware, crest-aware and role-conditioned initializers.","Prototype-worthy: candidate initializer, never producer judgment.","Crest, activity density, genre, transient preservation, loudness matching and no-change.","An average-derived threshold is musically appropriate.","High for claims; none for musical efficacy.","Consider before materially similar claim-element implementation.","https://patents.google.com/patent/US10050596B2/en","adc844bf7243d2cda8aab0f1fdd2ab472889035e0ba59cf942e02e19b67f0ca0","patent-family-adobe-auto-compressor-threshold-us10050596"
"patent-family-izotope-sound-masking-2017","Systems and Methods for Identifying and Remediating Sound Masking","2017-06-07","WO2018226418A1; US10396744B2; US10763812B2; US10972065B2; US11469731B2","iZotope Inc.; current Google record shows Native Instruments USA Inc.","James McClellan; Gordon Wichern; Hannah Robertson; Aaron Wishnick; Alexey Lukin; Matthew Hines; Nicholas LaPenn","psychoacoustic masking diagnosis and remediation","Compare first-instrument loudness without and with another instrument in a time-frequency range and apply one or more measures based on the comparison.","Excitation patterns; partial loudness and loudness loss; audibility thresholds; visualization; filtering, EQ, attenuation, amplification, panning, compression and phase remedies.","No evidence that reduced masking is artistically preferred. Role, arrangement, intentional blend and genre can reverse the desired action.","Psychoacoustic masking and remediation disclosures cited across the continuation family.","Google displayed active continuations; anticipated expiration 2038.","Continuation scope and status require official-register verification. Technical prior-art analysis only, not a legal or FTO conclusion.","Native-text continuation claims and specification plus rendered masking pipeline and independent-claim checks.","Source-aware pairwise diagnosis and reversible cross-track intervention.","Separate diagnosis from intervention; record role and preservation assumptions; rank bounded alternatives and permit no-change.","Use masking as one objective alongside prominence, character, dynamics and intent; expose region and confidence.","Prototype-worthy: evidence-bearing observation before any action.","Calibrated detection followed by loudness-matched expert preference in solo and mix context, including intentional blend.","Spectral overlap or loudness loss proves harmful masking or a preferred remedy.","High for reviewed claims; moderate for full family completeness.","Review before materially similar continuation-claim implementation.","https://patents.google.com/patent/US11469731B2/en","eae2fe3b6e56456b195c15ef4c61361b6a170396d308198d2a4c8f2a6d16e9b9","patent-family-izotope-sound-masking-us11469731"
"patent-family-izotope-enhanced-audio-2017","Systems and Methods for Automatically Generating Enhanced Audio Output","2017-06-07","WO2018226419A1; US20190018645A1; US10635389B2","iZotope Inc.; current Google record shows Native Instruments USA Inc.","James McClellan; Gordon Wichern; Aaron Wishnick; Alexey Lukin; Matthew Hines","source-aware EQ and dynamics enhancement","Identify a source; determine settings; analyze spectral and dynamic characteristics; modify audio; permit adjustment and playback; use different compression behavior inside and outside a detected peak band.","Source templates and target ratios; EQ and filters; crossover at a peak-band boundary; different thresholds or ratios by region; preview and user strength.","The word enhanced is not listening evidence. Source, diagnosis and goal are distinct uncertainties; template correction can remove intended character.","Automatic processing and source-analysis disclosures cited in the patent.","Google displayed active; current assignee shown as Native Instruments USA Inc.","Google legal status and assignee are assumptions; verify official registers. Technical prior-art analysis only, not a legal or FTO conclusion.","Native-text claims and specification plus rendered source-template architecture and independent-claim checks.","Source-aware automatic EQ and dynamics with editable strength.","Represent source confidence, diagnosis, goal, operation, bounds and preservation separately.","Offer template processing as one reversible candidate alongside no-change and character-preserving alternatives.","Prototype-worthy: independently inspectable source, issue, target and plan.","No-change, source mismatch, phase, transient, loudness, role, genre and bounds.","A detected peak band is a problem or automatic enhancement is preferred.","High for claims and embodiments; none for efficacy.","Review before materially similar claim implementation.","https://patents.google.com/patent/US10635389B2/en","68673eafb93de3f67b153509a0428973c1ea9ac05542e3d24c6394753b52fd54","patent-family-izotope-enhanced-audio-us10635389"
