rank,repository,url,pin_or_release,primary_language,top_level_license,classification,smallest_capability,boundary,decision_bin,shipping_posture
1,basic-pitch,https://github.com/spotify/basic-pitch,fa5997af0a8210982619003269994a1be25eddf3,Python/setuptools,Apache-2.0,STUDY_ONLY,Offline non-authoritative audio-to-MIDI candidate fixture,research-only directory,Study but do not port,No code model or output shipping approval
2,RNNoise,https://github.com/xiph/rnnoise,70f1d256acd4b34a572f999a05c87bf00b67730d,C/Autotools,BSD-3-Clause-style,STUDY_ONLY,Speech-only 48 kHz denoising research baseline,research-only directory,Study but do not port,No code model or output shipping approval
3,webMUSHRA,https://github.com/audiolabs/webMUSHRA,8c353f738aa88fa9dee0dc1aa7d18d2a06441cb5,JavaScript/PHP,Custom Fraunhofer,LICENSE_BLOCKED,Independently authored blinded-study protocol,research-only directory,Reject or license first,No source assets or server reuse absent written rights
4,akouste,https://github.com/robvanson/akouste,ef5130b52c1bdec3ddf7467d50bb7f787cab27fa,HTML/CSS/JavaScript,AGPL-3.0,LICENSE_BLOCKED,Local blinded-listening export and integrity ideas,research-only directory,Reject or license first,No code assets or service reuse absent separate rights
5,librosa,https://github.com/librosa/librosa,44947d40aa78cf81edae290594223fef3abf43c9 (1.0.0rc0),Python/setuptools,ISC,SAFE_AS_OFFLINE_TOOL,Auditable reference analysis fixtures,offline CLI,Prototype offline first,External validation tool only pending dependency content and reproducibility gates
6,pluginval,https://github.com/Tracktion/pluginval,4c5adc2c1a9910251667152166139a0c37b953e6,C++/CMake/JUCE,GPL-3.0,LICENSE_BLOCKED,Disposable external AU regression observation,external test dependency,Reject or license first,No distribution linkage or dependency incorporation
7,chowdsp_utils,https://github.com/Chowdhury-DSP/chowdsp_utils,e97b826ef3de0b0fd92b15cb2e286076f678d8b9,C++/CMake/JUCE modules,Mixed per-module and GPL,SAFE_TO_PORT_SELECTIVELY,Independent fixed-capacity utility specification,AU render thread,Integrate now,Only an independently authored cleared algorithm after RT proof
8,AudioKit,https://github.com/AudioKit/AudioKit,c358c15fdcdd0e78c4b4988f5c532c7cfb5c2eeb,Swift/SwiftPM,MIT,SAFE_TO_PORT_SELECTIVELY,Independently author one small MIDI or file convenience,external test dependency,Integrate now,Non-shipping until copied-symbol scope notices fixture rights and native tests pass
9,iPlug2,https://github.com/iPlug2/iPlug2,5c2df9dce3f5258acfeff3846a6a9563f382212c,C++/CMake,zlib-style,SAFE_TO_PORT_SELECTIVELY,Independent simple DSP reference test,external test dependency,Integrate now,No framework import and no shipping source reuse without notice review
10,NeuralNote,https://github.com/DamRsn/NeuralNote,f979e51dfeab54d5921858af39403308ab06e60c,C++/CMake/JUCE,Apache-2.0,STUDY_ONLY,Document deferred audio-to-MIDI behavior,research-only directory,Study but do not port,No code model or output shipping approval
11,DDSP,https://github.com/magenta/ddsp,cf5e62dfe5d5c80aa14761832233a2e68e840e53,Python/setuptools/TensorFlow,Apache-2.0,STUDY_ONLY,Controlled harmonic and noise synthesis concepts,research-only directory,Study but do not port,No code model or output shipping approval
12,Essentia,https://github.com/MTG/essentia,b9fa6cb674ca43dfb94d28d293aeda441c6745db,C++/Python/Waf,AGPL-3.0-only,LICENSE_BLOCKED,Offline descriptor comparison,research-only directory,Reject or license first,No code models data or dependency shipping absent separate rights
13,madmom,https://github.com/CPJKU/madmom,27f032e8947204902c675e5e341a3faf5dc86dae,Python/Cython/setuptools,BSD-like code plus CC BY-NC-SA data/models,STUDY_ONLY,Noncommercial algorithm-behavior comparison,research-only directory,Study but do not port,No commercial code model data or derived technology shipping
14,Demucs,https://github.com/facebookresearch/demucs,e976d93ecc3865e5757426930257e200846a520a,Python/setuptools/PyTorch,MIT,STUDY_ONLY,Separation-plan UX and provenance benchmark,research-only directory,Study but do not port,No weights code output or derived feature shipping without rights
15,JUCE,https://github.com/juce-framework/JUCE,7dda739b9be09f1dfb9592a09e1701acf808cd44,C/C++/CMake,AGPL-3.0 or commercial,LICENSE_BLOCKED,AU host-edge-case test scenarios,research-only directory,Reject or license first,No framework migration or reuse without commercial license and approval
16,noise-suppression-for-voice,https://github.com/werman/noise-suppression-for-voice,9c4e5c28d8950e2cef837d8a0abd36c2fd9b5c2d,C++/C/CMake/JUCE,GPL-3.0,LICENSE_BLOCKED,None,research-only directory,Reject or license first,Do not link import distribute or derive absent separate rights
