type,name,url,planning_use
Official Apple documentation,Audio Unit v3 Plug-Ins,https://developer.apple.com/documentation/audiotoolbox/audio-unit-v3-plug-ins,"AU types, extension model and host boundaries"
Official Apple documentation,AUAudioUnit,https://developer.apple.com/documentation/audiotoolbox/auaudiounit,"MIDI scheduling, state, parameters, latency, tails and rendering"
Official Apple sample,Creating Custom Audio Effects,https://developer.apple.com/documentation/avfaudio/creating-custom-audio-effects,"Current AUv3 implementation and real-time safety pattern"
Official Apple documentation,Core MIDI,https://developer.apple.com/documentation/coremidi,"MIDI endpoints, messages and Universal MIDI Packets"
Official Apple sample,Incorporating MIDI 2 into your apps,https://developer.apple.com/documentation/coremidi/incorporating-midi-2-into-your-apps,"High-resolution MIDI 2 and UMP implementation"
Official MIDI resource,MPE Specification v1.1 announcement,https://midi.org/the-midi-association-announces-the-v1-1-update-to-the-midi-polyphonic-expression-mpe-specification,"Per-note expressive pitch/pressure/timbre control"
Repository,Magenta DDSP,https://github.com/magenta/ddsp,"Reference code, pretrained models, data preparation and limitations"
Repository,Magenta MIDI-DDSP,https://github.com/magenta/midi-ddsp,"Hierarchical notes-performance-synthesis implementation"
Repository,ST-ITO,https://github.com/csteinmetz1/st-ito,"Effect optimization, AFx representation, benchmark and datasets"
Repository,DeepAFx-ST,https://github.com/csteinmetz1/DeepAFx-ST,"Differentiable audio-effect style-transfer implementation"
Repository,Audio Editing Survey,https://github.com/DaViD-Pigeon/AudioEditSurvey,"Living index of audio-editing papers, datasets and evaluations"
Repository,WORLD vocoder,https://github.com/mmorise/World,"Pitch, spectral-envelope and aperiodicity analysis/synthesis"
Repository,JUCE,https://github.com/juce-framework/JUCE,"Production plug-in, DSP and MIDI implementation references"
Online technical book,Spectral Audio Signal Processing,https://www.dsprelated.com/freebooks/sasp/,"Phase vocoder, STFT modifications, filter banks and spectral effects"
Online technical book,Physical Audio Signal Processing,https://www.dsprelated.com/freebooks/pasp/,"Resonators, waveguides and physical-model synthesis for instrument-like transformations"
